| Key | SC Code | Description | Duration (ms) |
| tab | 00F | tab | 946 |
| caps lock | 03A | caps lock | 940 |
| C | 02E | C | 944 |
| ctrl | 01D | ctrl | 936 |
| shift | 02A | shift | 948 |
| shift | 02A | shift | 158 |
| caps lock | 03A | caps lock | 333 |
| ctrl | 01D | ctrl | 349 |
| esc | 001 | esc | 359 |
| ~ | 029 | ~ | 360 |
| ! | 002 | ! | 362 |
| tab | 00F | tab | 362 |
| c | 02E | c | 363 |
| shift | 02A | shift | 178 |
| ! | 002 | ! | 133 |
| tab | 00F | tab | 133 |
| caps lock | 03A | caps lock | 160 |
| tab | 00F | tab | 212 |
| caps lock | 03A | caps lock | 241 |
| ctrl | 01D | ctrl | 230 |
| esc | 001 | esc | 227 |
| shift | 02A | shift | 100 |
| c | 02E | c | 107 |
| tab | 00F | tab | 90 |
| caps lock | 03A | caps lock | 108 |
| esc | 001 | esc | 104 |
| ` | 029 | ` | 377 |
| 1 | 002 | 1 | 378 |
| ctrl | 01D | ctrl | 114 |
| tab | 00F | tab | 56 |
| caps lock | 03A | caps lock | 33 |
| esc | 001 | esc | 29 |
| ! | 002 | ! | 32 |
| ~ | 029 | ~ | 30 |
| c | 02E | c | 77 |
| ctrl | 01D | ctrl | 33 |
| shift | 02A | shift | 81 |
| esc | 001 | esc | 34 |
| ~ | 029 | ~ | 33 |
| ! | 002 | ! | 34 |
| tab | 00F | tab | 40 |
| caps lock | 03A | caps lock | 39 |
| ctrl | 01D | ctrl | 35 |
| shift | 02A | shift | 38 |
| c | 02E | c | 40 |
| esc | 001 | esc | 1035 |
| ` | 029 | ` | 1039 |
| 1 | 002 | 1 | 1040 |
| tab | 00F | tab | 1048 |
| caps lock | 03A | caps lock | 1048 |
| shift | 02A | shift | 1046 |
| C | 02E | C | 1051 |
| ctrl | 01D | ctrl | 1053 |
| shift | 02A | shift | 136 |
| tab | 00F | tab | 169 |
| shift | 02A | shift | 117 |
| esc | 001 | esc | 317 |
| ` | 029 | ` | 315 |
| 1 | 002 | 1 | 317 |
| tab | 00F | tab | 104 |
| esc | 001 | esc | 107 |
| C | 02E | C | 468 |
| ~ | 029 | ~ | 130 |
| ! | 002 | ! | 132 |
| tab | 00F | tab | 133 |
| caps lock | 03A | caps lock | 490 |
| shift | 02A | shift | 146 |
| ctrl | 01D | ctrl | 478 |
| esc | 001 | esc | 31 |
| esc | 001 | esc | 1377 |
| ~ | 029 | ~ | 1429 |
| ! | 002 | ! | 1444 |
| tab | 00F | tab | 1478 |
| caps lock | 03A | caps lock | 1479 |
| C | 02E | C | 1494 |
| shift | 02A | shift | 1480 |
| ctrl | 01D | ctrl | 1470 |
| esc | 001 | esc | 30 |
| ` | 029 | ` | 30 |
| 1 | 002 | 1 | 26 |
| tab | 00F | tab | 27 |
| caps lock | 03A | caps lock | 27 |
| c | 02E | c | 30 |
| shift | 02A | shift | 30 |
| ctrl | 01D | ctrl | 33 |
| esc | 001 | esc | 30 |
| ` | 029 | ` | 30 |
| ! | 002 | ! | 373 |
| ~ | 029 | ~ | 326 |
| tab | 00F | tab | 349 |
| caps lock | 03A | caps lock | 350 |
| shift | 02A | shift | 349 |
| c | 02E | c | 349 |
| ctrl | 01D | ctrl | 348 |
| esc | 001 | esc | 335 |
| ! | 002 | ! | 2167 |
| tab | 00F | tab | 2172 |
| caps lock | 03A | caps lock | 2174 |
| c | 02E | c | 2178 |
| shift | 02A | shift | 2181 |
| ctrl | 01D | ctrl | 2184 |
| esc | 001 | esc | 2191 |
| ` | 029 | ` | 2191 |
| tab | 00F | tab | 107 |
| C | 02E | C | 106 |
| caps lock | 03A | caps lock | 107 |
| shift | 02A | shift | 102 |
| ctrl | 01D | ctrl | 106 |
| esc | 001 | esc | 104 |
| 1 | 002 | 1 | 129 |
| ` | 029 | ` | 115 |
| C | 02E | C | 3201 |
| 1 | 002 | 1 | 3212 |
| tab | 00F | tab | 3257 |
| 1 | 002 | 1 | 456 |
| tab | 00F | tab | 409 |
| 1 | 002 | 1 | 1602 |
| esc | 001 | esc | 5120 |
| ` | 029 | ` | 5118 |
| 1 | 002 | 1 | 262 |
| tab | 00F | tab | 1858 |
| caps lock | 03A | caps lock | 5155 |
| shift | 02A | shift | 5150 |
| c | 02E | c | 1917 |
| ctrl | 01D | ctrl | 1624 |
| esc | 001 | esc | 45 |
| ! | 002 | ! | 33 |
| tab | 00F | tab | 121 |
| esc | 001 | esc | 97 |
| c | 02E | c | 158 |
| esc | 001 | esc | 33 |
| ~ | 029 | ~ | 271 |
| ! | 002 | ! | 221 |
| shift | 02A | shift | 341 |
| c | 02E | c | 233 |
| ~ | 029 | ~ | 215 |
| ! | 002 | ! | 246 |
| tab | 00F | tab | 419 |
| c | 02E | c | 88 |
| esc | 001 | esc | 323 |
| caps lock | 03A | caps lock | 604 |
| shift | 02A | shift | 241 |
| ctrl | 01D | ctrl | 594 |
| tab | 00F | tab | 28 |
| caps lock | 03A | caps lock | 36 |
| C | 02E | C | 77 |
| shift | 02A | shift | 45 |
| 1 | 002 | 1 | 118 |
| ctrl | 01D | ctrl | 67 |
| esc | 001 | esc | 169 |
| shift | 02A | shift | 43 |
| tab | 00F | tab | 542 |
| caps lock | 03A | caps lock | 507 |
| c | 02E | c | 503 |
| esc | 001 | esc | 450 |
| shift | 02A | shift | 441 |
| 1 | 002 | 1 | 505 |
| ctrl | 01D | ctrl | 500 |
| ` | 029 | ` | 776 |
| esc | 001 | esc | 30 |
| C | 02E | C | 58 |
| shift | 02A | shift | 44 |
| ctrl | 01D | ctrl | 38 |
| ` | 029 | ` | 32 |
| 1 | 002 | 1 | 45 |
| tab | 00F | tab | 91 |
| caps lock | 03A | caps lock | 81 |
| esc | 001 | esc | 58 |
| ctrl | 01D | ctrl | 39 |
| shift | 02A | shift | 90 |
| ` | 029 | ` | 89 |
| 1 | 002 | 1 | 86 |
| tab | 00F | tab | 83 |
| esc | 001 | esc | 49 |
| caps lock | 03A | caps lock | 83 |
| C | 02E | C | 118 |
| ctrl | 01D | ctrl | 42 |
| shift | 02A | shift | 44 |
| tab | 00F | tab | 31 |
| esc | 001 | esc | 33 |
| 1 | 002 | 1 | 72 |
| ` | 029 | ` | 69 |
| caps lock | 03A | caps lock | 66 |
| esc | 001 | esc | 167 |
| tab | 00F | tab | 185 |
| ~ | 029 | ~ | 152 |
| tab | 00F | tab | 18 |
| esc | 001 | esc | 52 |
| ~ | 029 | ~ | 45 |
| caps lock | 03A | caps lock | 297 |
| C | 02E | C | 461 |
| shift | 02A | shift | 415 |
| ctrl | 01D | ctrl | 492 |
| 1 | 002 | 1 | 391 |
| esc | 001 | esc | 117 |
| tab | 00F | tab | 136 |
| ` | 029 | ` | 109 |
| caps lock | 03A | caps lock | 73 |
| tab | 00F | tab | 10 |
| caps lock | 03A | caps lock | 10 |
| ! | 002 | ! | 44 |
| shift | 02A | shift | 187 |
| ctrl | 01D | ctrl | 197 |
| 1 | 002 | 1 | 111 |
| tab | 00F | tab | 147 |
| ` | 029 | ` | 162 |
| caps lock | 03A | caps lock | 150 |
| c | 02E | c | 255 |
| esc | 001 | esc | 213 |
| esc | 001 | esc | 27 |
| tab | 00F | tab | 950 |
| caps lock | 03A | caps lock | 960 |
| C | 02E | C | 963 |
| shift | 02A | shift | 984 |
| ctrl | 01D | ctrl | 993 |
| esc | 001 | esc | 979 |
| ` | 029 | ` | 1014 |
| 1 | 002 | 1 | 1033 |
| C | 02E | C | 30 |
| ~ | 029 | ~ | 23 |
| caps lock | 03A | caps lock | 20 |
| tab | 00F | tab | 34 |
| shift | 02A | shift | 58 |
| ctrl | 01D | ctrl | 58 |
| esc | 001 | esc | 57 |
| 1 | 002 | 1 | 56 |
| C | 02E | C | 54 |
| caps lock | 03A | caps lock | 54 |
| esc | 001 | esc | 334 |
| ~ | 029 | ~ | 371 |
| ! | 002 | ! | 342 |
| tab | 00F | tab | 388 |
| caps lock | 03A | caps lock | 343 |
| shift | 02A | shift | 420 |
| C | 02E | C | 407 |
| ctrl | 01D | ctrl | 428 |
| esc | 001 | esc | 66 |
| ! | 002 | ! | 63 |
| ~ | 029 | ~ | 61 |
| tab | 00F | tab | 62 |
| caps lock | 03A | caps lock | 60 |
| esc | 001 | esc | 62 |
| ~ | 029 | ~ | 65 |
| tab | 00F | tab | 60 |
| caps lock | 03A | caps lock | 63 |
