1682453244.96447: backspace (<8>), Duration: 0s
1682453245.465358: backspace (<8>), Duration: 0s
1682453245.4986377: backspace (<8>), Duration: 0s
1682453245.5307405: backspace (<8>), Duration: 0s
1682453245.5636241: backspace (<8>), Duration: 0s
1682453245.5971932: backspace (<8>), Duration: 0s
1682453245.63015: backspace (<8>), Duration: 0s
1682453245.6629443: backspace (<8>), Duration: 0s
1682453245.6963496: backspace (<8>), Duration: 0s
1682453245.7287147: backspace (<8>), Duration: 0s
1682453245.761619: backspace (<8>), Duration: 0s
1682453245.795194: backspace (<8>), Duration: 0s
1682453245.8285224: backspace (<8>), Duration: 0s
1682453245.8612444: backspace (<8>), Duration: 0s
1682453245.8936028: backspace (<8>), Duration: 0s
